Task #1009405059: depth 5, type 2, seed 1009405059, output 3101023037 (0 descendants)
Task #719161849: depth 5, type 1, seed 719161849, output 724711 (0 descendants)
Task #729595016: depth 5, type 1, seed 729595016, output 513603 (0 descendants)
Task #73047147: depth 5, type 1, seed 73047147, output 932138 (0 descendants)
Task #736756034: depth 5, type 4, seed 736756034, output 1634088247 (0 descendants)
Task #741533577: depth 4, type 2, seed 741533577, output 778183646 (5 descendants)
Task #745894343: depth 4, type 3, seed 745894343, output 17960 (4 descendants)
Task #747053432: depth 5, type 3, seed 747053432, output 17795 (0 descendants)
Task #750761164: depth 5, type 2, seed 750761164, output 2488801556 (0 descendants)
Task #751922003: depth 5, type 3, seed 751922003, output 14283 (0 descendants)
Task #753020723: depth 3, type 1, seed 753020723, output 907846 (3 descendants)
Task #756694523: depth 4, type 3, seed 756694523, output 15350 (4 descendants)
Task #761750403: depth 5, type 4, seed 761750403, output 962736695 (0 descendants)
Task #761882213: depth 5, type 1, seed 761882213, output 377163 (0 descendants)
Task #763420837: depth 5, type 3, seed 763420837, output 13760 (0 descendants)
Task #765128128: depth 5, type 4, seed 765128128, output 825505588 (0 descendants)
Task #766937765: depth 3, type 5, seed 766937765, output 1208559322 (4 descendants)
Task #775955287: depth 4, type 1, seed 775955287, output 951834 (4 descendants)
Task #776538211: depth 5, type 5, seed 776538211, output 2120375045 (0 descendants)
Task #77728292: depth 5, type 4, seed 77728292, output 892746084 (0 descendants)
Task #777307236: depth 4, type 1, seed 777307236, output 342940 (4 descendants)
Task #782953397: depth 5, type 2, seed 782953397, output 3612736148 (0 descendants)
Task #786436612: depth 5, type 2, seed 786436612, output 2795115589 (0 descendants)
Task #787258395: depth 4, type 3, seed 787258395, output 21504 (4 descendants)
Task #788552169: depth 4, type 2, seed 788552169, output 874215835 (4 descendants)
Task #790497325: depth 3, type 3, seed 790497325, output 18572 (5 descendants)
Task #794568733: depth 4, type 2, seed 794568733, output 3439128558 (4 descendants)
Task #794867861: depth 4, type 4, seed 794867861, output 1631084902 (4 descendants)
Task #795877884: depth 5, type 4, seed 795877884, output 959590966 (0 descendants)
Task #798315686: depth 5, type 5, seed 798315686, output 1559099624 (0 descendants)
Task #79944076: depth 5, type 1, seed 79944076, output 303028 (0 descendants)
Task #800019820: depth 5, type 2, seed 800019820, output 3819151326 (0 descendants)
Task #800482049: depth 5, type 1, seed 800482049, output 736991 (0 descendants)
Task #802619848: depth 5, type 4, seed 802619848, output 1664247352 (0 descendants)
Task #810926988: depth 5, type 3, seed 810926988, output 21494 (0 descendants)
Task #811174538: depth 5, type 5, seed 811174538, output 1809210096 (0 descendants)
Task #836676666: depth 2, type 4, seed 836676666, output 1631073842 (3 descendants)
Task #838254742: depth 5, type 1, seed 838254742, output 304359 (0 descendants)
Task #841613108: depth 5, type 4, seed 841613108, output 842228790 (0 descendants)
Task #844429988: depth 4, type 1, seed 844429988, output 99212 (5 descendants)
Task #846729543: depth 5, type 5, seed 846729543, output 1965985706 (0 descendants)
Task #846810798: depth 5, type 2, seed 846810798, output 549931434 (0 descendants)
Task #856381851: depth 3, type 2, seed 856381851, output 971961746 (5 descendants)
Task #859680148: depth 5, type 5, seed 859680148, output 1550217226 (0 descendants)
Task #862395796: depth 5, type 1, seed 862395796, output 258334 (0 descendants)
Task #863865391: depth 5, type 4, seed 863865391, output 862282802 (0 descendants)
Task #872321501: depth 5, type 2, seed 872321501, output 1532905228 (0 descendants)
Task #892741366: depth 5, type 1, seed 892741366, output 861202 (0 descendants)
Task #893150658: depth 5, type 3, seed 893150658, output 16372 (0 descendants)
Task #893607891: depth 5, type 5, seed 893607891, output 2774227108 (0 descendants)
Task #898273461: depth 4, type 2, seed 898273461, output 726936232 (5 descendants)
Task #900849983: depth 4, type 4, seed 900849983, output 1684157494 (4 descendants)
Task #90093852: depth 5, type 5, seed 90093852, output 2425031526 (0 descendants)
Task #901911921: depth 5, type 5, seed 901911921, output 21342554 (0 descendants)
Task #904035743: depth 4, type 4, seed 904035743, output 1714958433 (5 descendants)
Task #907084550: depth 5, type 5, seed 907084550, output 931218235 (0 descendants)
Task #909655890: depth 3, type 3, seed 909655890, output 15554 (3 descendants)
Task #912686867: depth 4, type 1, seed 912686867, output 896046 (4 descendants)
Task #913647332: depth 4, type 4, seed 913647332, output 842611045 (4 descendants)
Task #913834749: depth 5, type 4, seed 913834749, output 811753778 (0 descendants)
Task #914601208: depth 5, type 4, seed 914601208, output 1681339491 (0 descendants)
Task #916049560: depth 5, type 5, seed 916049560, output 2604573920 (0 descendants)
Task #916712074: depth 5, type 3, seed 916712074, output 15261 (0 descendants)
Task #924676309: depth 2, type 2, seed 924676309, output 731282795 (4 descendants)
Task #925751737: depth 4, type 3, seed 925751737, output 21364 (5 descendants)
Task #935700146: depth 5, type 4, seed 935700146, output 1714894433 (0 descendants)
Task #936838717: depth 5, type 2, seed 936838717, output 1442957826 (0 descendants)
Task #939085436: depth 5, type 2, seed 939085436, output 4204021184 (0 descendants)
Task #941792053: depth 4, type 5, seed 941792053, output 3412601871 (4 descendants)
Task #941833394: depth 5, type 2, seed 941833394, output 3160967532 (0 descendants)
Task #941950638: depth 4, type 5, seed 941950638, output 1374437198 (5 descendants)
Task #942124473: depth 5, type 3, seed 942124473, output 15602 (0 descendants)
Task #942676817: depth 5, type 4, seed 942676817, output 959473200 (0 descendants)
Task #955651840: depth 5, type 4, seed 955651840, output 912679224 (0 descendants)
Task #95587640: depth 4, type 5, seed 95587640, output 14553735 (3 descendants)
Task #959289006: depth 5, type 4, seed 959289006, output 1701208624 (0 descendants)
Task #962694311: depth 5, type 1, seed 962694311, output 495918 (0 descendants)
Task #975393536: depth 5, type 5, seed 975393536, output 2393908745 (0 descendants)
Task #975586920: depth 5, type 5, seed 975586920, output 21263457 (0 descendants)
Task #980208568: depth 5, type 1, seed 980208568, output 203975 (0 descendants)
Task #983744522: depth 5, type 1, seed 983744522, output 70654 (0 descendants)
Task #986517707: depth 5, type 1, seed 986517707, output 914183 (0 descendants)
Task #987904252: depth 5, type 3, seed 987904252, output 14830 (0 descendants)
Task #988099974: depth 5, type 4, seed 988099974, output 808466224 (0 descendants)
Task #988347280: depth 4, type 2, seed 988347280, output 2984937263 (3 descendants)
Task #99007512: depth 4, type 5, seed 99007512, output 3000224925 (4 descendants)
Task #990799620: depth 5, type 1, seed 990799620, output 330222 (0 descendants)
Task #993541335: depth 5, type 5, seed 993541335, output 2735971395 (0 descendants)
Task #996466872: depth 5, type 3, seed 996466872, output 17015 (0 descendants)
Task #999687950: depth 5, type 5, seed 999687950, output 4051313628 (0 descendants)
Task #999811884: depth 5, type 1, seed 999811884, output 871773 (0 descendants)
